name;density;spg;volume;SiOSi_average;SiOSi_gmean;SiOSi_hmean;SiOSi_max;SiOSi_mean;SiOSi_min;SiOSi_skew;SiOSi_std;SiOSi_var;SiO_average;SiO_gmean;SiO_hmean;SiO_max;SiO_mean;SiO_min;SiO_skew;SiO_std;SiO_var;ASA;AV;NASA;NAV;VolFrac;largest_free_sphere;largest_included_sphere;largest_included_sphere_free;max_dim;min_dim;mode_dim
9000286;2.553416979;1;13.02468113;145.8028366;144.9732862;144.1793909;178.6415619;145.8028366;129.1587101;0.641634399;15.86016014;251.5446797;1.614562766;1.614458994;1.614355903;1.648033074;1.614562766;1.596624277;0.871483867;0.018365356;0.000337286;0;0;0;0;0;0.87849;2.02666;2.00863;0;0;[0]
9000287;2.509539639;1;13.2524075;144.2558252;143.4561724;142.6584018;174.8121588;144.2558252;118.4081492;0.148323173;15.19506563;230.8900195;1.606169393;1.60614885;1.606128253;1.618623827;1.606169393;1.588503611;-0.763019569;0.008113002;6.58E-05;0;0;0;0;0;0.79046;1.74311;1.70659;0;0;[0]
9000288;2.053634741;1;16.19442897;147.3715884;147.2297111;147.088032;159.6719339;147.3715884;136.3904298;0.111283948;6.471050708;41.87449726;1.605334311;1.605283634;1.605232669;1.614839377;1.605334311;1.583545036;-1.074519246;0.012719198;0.000161778;0;0;9.93534;0.00445067;0;2.45341;3.86275;3.84957;0;0;[0]
9000289;2.629525566;1;12.64769675;142.0246823;141.6492042;141.2818751;163.2253075;142.0246823;124.3701134;0.560012297;10.44129475;109.0206361;1.609283978;1.609186999;1.609089698;1.635662298;1.609283978;1.577852978;-0.443736485;0.017637772;0.000311091;0;0;0;0;0;0.7777;1.95882;1.57272;0;0;[0]
9000290;2.571052487;1;12.93534151;146.7647271;146.3034623;145.8513143;170.0030628;146.7647271;127.3986071;0.446176114;11.74511761;137.9477878;1.600087005;1.600059946;1.60003296;1.619715779;1.600087005;1.588308701;0.70344272;0.009318124;8.68E-05;0;0;0;0;0;0.71807;1.74067;1.74067;0;0;[0]
9000291;2.752613303;1;12.0821337;141.4488294;140.7803089;140.1641877;174.3236691;141.4488294;127.5128521;1.318859377;14.30590714;204.658979;1.622179875;1.622130984;1.622082191;1.643809788;1.622179875;1.605878847;0.394872186;0.012607047;0.000158938;0;0;0;0;0;0.85498;1.37325;1.37325;0;0;[0]
9000292;2.566147054;1;12.96006864;144.8031377;144.1849306;143.5595202;166.5444775;144.8031377;123.7041823;-0.17387224;13.27747036;176.2912193;1.601866452;1.601833462;1.601800512;1.619266866;1.601866452;1.585793308;0.288115182;0.010286799;0.000105818;0;0;0;0;0;0.6882;2.02433;2.02433;0;0;[0]
9000293;2.515661831;1;13.22015604;145.3297636;144.8694626;144.4188876;166.3019328;145.3297636;129.0603574;0.419084044;11.67513004;136.3086614;1.611235128;1.611201126;1.611167126;1.631065815;1.611235128;1.592108106;0.029415002;0.010467983;0.000109579;0;0;0;0;0;0.71637;2.04153;1.92849;0;0;[0]
9000294;2.384113308;1;13.94960627;144.6850912;143.9253772;143.1489029;167.0242458;144.6850912;118.4327348;-0.252026044;14.64400913;214.4470033;1.613666589;1.613653477;1.613640369;1.624181316;1.613666589;1.604064296;0.113357756;0.00650607;4.23E-05;0;0;0;0;0;1.20953;2.54839;2.38331;0;0;[0]
9000295;2.806569966;1;11.84985315;144.9400872;144.1972291;143.4352882;167.5817263;144.9400872;119.9611569;-0.282759562;14.47476343;209.5187765;1.60931425;1.609179563;1.609045456;1.642407193;1.60931425;1.58678182;0.496884658;0.020864717;0.000435336;0;0;0;0;0;0.72914;1.69176;1.66256;0;0;[0]
