g
42,39839971
31,40766135
25,20413847
28,79969424
29,56596364
22,06771264
29,53951717
22,74554212
27,76190681
22,68240818
20,31133244
25,54208397
22,88370624
25,12106485
19,74171415
36,27431688
34,17950054
32,34530901
38,59327918
35,52399104
26,40227923
25,97570096
34,52264263
22,80461958
23,64942227
47,19621303
20,8950094
27,39963014
24,30911584
49,69935097
22,3359798
51,33627361
25,67964956
21,97900246
15,55265152
19,89200568
26,69778986
22,47965531
26,95983886
46,86306082
35,61005287
37,28186733
23,6674159
22,87281219
28,12949513
21,85576722
23,22342413
35,92641737
21,33381874
18,1334387
26,4404177
34,78879155
21,8477888
24,57305053
24,32003602
37,54288495
18,72777745
23,1867972
32,26105559
26,22181826
22,79602351
20,37915755
34,93573408
21,8019427
32,43505651
34,73527709
34,49883712
27,55774195
30,43912823
24,86597396
22,53712868
25,57914677
24,51742746
23,58747666
24,23668405
28,20988892
12,4433329
22,34673271
23,27743313
21,61741086
24,71513646
24,14033788
26,31082618
21,51312622
21,4235898
25,64951645
21,67963793
39,1940203
20,73457997
29,08523919
22,46665275
18,92120283
24,23057784
21,71373355
25,11448763
23,82723861
25,92809075
33,83619124
24,87446867
22,83532182
22,5314552
30,82374875
19,53959677
22,19334979
27,48867946
21,480579
17,56081867
25,75190096
46,36339281
25,50862289
23,42298356
26,62982359
39,13382036
29,00564913
19,87164365
22,91289493
27,12563067
26,4479917
43,52706649
38,55752453
31,17628076
29,02072603
26,98329377
25,6215576
25,65211246
36,81942136
43,15591692
29,89935161
17,53539671
48,565005
14,75024358
24,19477499
39,43379889
22,99360176
21,7204483
30,6219727
26,02040543
24,89712094
19,93879907
22,75095124
28,70512303
24,0820726
22,25573552
21,14140178
25,49757808
36,18183728
12,70231545
24,71051008
18,05807408
24,4592003
25,37047794
25,80460223
19,3137281
22,35590512
18,69427991
18,54784133
36,57073015
21,46304402
27,49218025
29,3044958
27,6324411
23,07165777
22,45502675
28,39787381
25,5495785
33,26367844
23,58064817
17,33555855
25,76870893
35,91041168
26,06254366
21,64444885
20,13632353
21,97726299
26,58211568
28,78647732
25,60742088
25,5451506
39,88787824
20,03617626
22,0523227
26,77265862
21,14626783
24,6787847
25,84791289
20,42415872
19,2351516
21,7765411
22,13218635
23,56532603
26,56161831
25,93263826
21,54721156
31,73549587
21,00814753
